Date Purchased,Quantity,Card,Subject,Year,Set,Variation,Number,Category,Condition,Investment,Current Value,Potential Profit,Graded Cert #,Population,Notes
08/12/2026,1,1971 1971 Topps Football Pin-Ups Gene Washington #23 Raw,Gene Washington,1971,1971 Topps Football Pin-Ups,,23,Football,,0,5.31,5.31,,,Scout & Steward | FBPU_0001
08/12/2026,1,1971 1971 Topps Football Pin-Ups Larry Brown #32 Raw,Larry Brown,1971,1971 Topps Football Pin-Ups,,32,Football,,0,3.96,3.96,,,Scout & Steward | FBPU_0002
08/12/2026,1,1971 1971 Topps Football Pin-Ups Jerry LeVias #9 Raw,Jerry LeVias,1971,1971 Topps Football Pin-Ups,,9,Football,,0,3.07,3.07,,,Scout & Steward | FBPU_0003
08/12/2026,1,1971 1971 Topps Football Pin-Ups Jerry LeVias #9 Raw,Jerry LeVias,1971,1971 Topps Football Pin-Ups,,9,Football,,0,3.07,3.07,,,Scout & Steward | FBPU_0004
08/12/2026,1,1971 1971 Topps Football Pin-Ups Jim Nance #15 Raw,Jim Nance,1971,1971 Topps Football Pin-Ups,,15,Football,,100,7.05,-92.95,,,Scout & Steward | FBPU_0005
08/12/2026,1,1971 1971 Topps Football Pin-Ups Lance Alworth #19 Raw,Lance Alworth,1971,1971 Topps Football Pin-Ups,,19,Football,,100,3.87,-96.13,,,Scout & Steward | FBPU_0006
08/12/2026,1,1971 1971 Topps Football Pin-Ups Bill Nelsen #16 Raw,Bill Nelsen,1971,1971 Topps Football Pin-Ups,,16,Football,,100,3.44,-96.56,,,Scout & Steward | FBPU_0007
08/12/2026,1,1971 1971 Topps Football Pin-Ups Sam Brunelli #14 Raw,Sam Brunelli,1971,1971 Topps Football Pin-Ups,,14,Football,,100,4.05,-95.95,,,Scout & Steward | FBPU_0008
08/12/2026,1,1971 1971 Topps Football Pin-Ups Harold Jackson #3 Raw,Harold Jackson,1971,1971 Topps Football Pin-Ups,,3,Football,,100,1.19,-98.81,,,Scout & Steward | FBPU_0009
08/12/2026,1,1971 1971 Topps Football Pin-Ups Andy Russell #2 Raw,Andy Russell,1971,1971 Topps Football Pin-Ups,,2,Football,,100,4.84,-95.16,,,Scout & Steward | FBPU_0010
