SKU,Category,Title,Description,Price,Condition,ShippingType,ShippingServiceCost,ReturnsAccepted,PictureURL
FBPU_0001,261328,1971 Topps Football Pin-Ups #23 Gene Washington Minnesota Vikings,,,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0001_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0001_b.webp
FBPU_0002,261328,1971 Topps Football Pin-Ups #32 Larry Brown Washington Redskins,,,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0002_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0002_b.webp
FBPU_0003,261328,1971 Topps Football Pin-Ups #9 Jerry LeVias Houston Oilers,,,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0003_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0003_b.webp
FBPU_0004,261328,1971 Topps Football Pin-Ups #9 Jerry LeVias Houston Oilers,,,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0004_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0004_b.webp
FBPU_0005,261328,1971 Topps Football Pin-Ups #15 Jim Nance New England Patriots,,,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0005_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0005_b.webp
FBPU_0006,261328,1971 Topps Football Pin-Ups #19 Lance Alworth Dallas Cowboys,,,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0006_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0006_b.webp
FBPU_0007,261328,1971 Topps Football Pin-Ups #16 Bill Nelsen Cleveland Browns,,,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0007_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0007_b.webp
FBPU_0008,261328,1971 Topps Football Pin-Ups #14 Sam Brunelli Denver Broncos,,,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0008_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0008_b.webp
FBPU_0009,261328,1971 Topps Football Pin-Ups #3 Harold Jackson Philadelphia Eagles,,,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0009_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0009_b.webp
FBPU_0010,261328,1971 Topps Football Pin-Ups #2 Andy Russell Pittsburgh Steelers,,,Very Good,flat,9.75,ReturnsNotAccepted,https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0010_a.webp|https://pub-2bccab9e377e4ad8a7f475705f0aedb0.r2.dev/FBPU_0010_b.webp
