#INFO,Version=1.0.0,Template= eBay-active-revise-price-quantity-download_US,,,,,,,,,
Action,Category name,Item number,Title,Listing site,Currency,Start price,Buy It Now price,Available quantity,Relationship,Relationship details,Custom label (SKU)
Revise,"Planters Nuts (3894)","336407325771",Vintage Planters Mr Peanut Radio Display Figure,"US","USD","24.5",,"1",,,
Revise,"Vintage Computers & Mainframes (162075)","336422403113",Apple II Plus Computer w/ Dual Disk II Drives Sanyo Monitor VM4509 Untested,"US","USD","2499.0",,"1",,,
Revise,"Trading Card Lots (261329)","336442454602",1993 Upper Deck B.A.T. #133 Babe Ruth Lou Gehrig Triple Fold Pinstripe,"US","USD","2.0",,"1",,,
Revise,"Baseballs (50124)","336442463046",1996 World Series Yankees Braves Commemorative Baseball w/Cube Atlanta Fulton,"US","USD","29.99",,"1",,,
Revise,"Baseball-MLB (24410)","336442690367",1994 MLB All-Star Game Pittsburgh Pirates Fotoball Commemorative Baseball w/Case,"US","USD","23.0",,"1",,,
Revise,"Baseball-MLB (24410)","336442760669","1992 Upper Deck Authenticated Launch Event Baseball Mantle,Jackson,West & Magic","US","USD","155.0",,"1",,,
Revise,"M&M's (874)","336442782477",Air Force One M&M Boxes & Matchbooks George HW Bush White House Set,"US","USD","119.0",,"1",,,
Revise,"Paintings (551)","336458646893",Elaine Estern Original Watercolor Pair St John USVI Gallows Point + Reagan 2009,"US","USD","539.0",,"2",,,
Revise,"Other Diecast Racing Cars (45354)","336497725917",Tony Stewart #20 Home Depot Peanuts Halloween Diecast 1:24 NASCAR - not signed,"US","USD","59.99",,"1",,,
Revise,"Other Autographed NASCAR Items (2837)","336513304521",2003 Ryan Newman Signed 8x10 Alltel Racing Promo Card #12 Penske JSA LOA,"US","USD","49.99",,"1",,,
Revise,"Photos (27265)","336513329305",George Brett Frank White Auto Kansas City Royals 1993 Opening Day Newspaper JSA,"US","USD","209.99",,"1",,,
Revise,"Sealed Trading Card Cases (261036)","336537145379","POTUS 2025 Complete 10 Box Presidential Set Lincoln, Jackson, FDR, Nixon +6 more","US","USD","649.0",,"1",,,
Revise,"Sealed Trading Card Cases (261036)","336537176187","POTUS 2025 Complete 10 Box Set Presidential Relics: Adams, Reagan, Jackson + 7","US","USD","649.0",,"1",,,
Revise,"Baseball-MLB (24410)","336582361434",Fotoball 2001 World Series Yankees vs Diamondbacks MLB Souvenir Baseball,"US","USD","19.5",,"1",,,
Revise,"Trading Card Singles (261328)","336583541855",1911 T205 Fred Snodgrass NY Giants Hassan Tobacco Card – Original Deadball Era ,"US","USD","109.99",,"1",,,
Revise,"Balls (27260)","336632420001","Nolan Ryan signed OAL Baseball, no COA, with cube…mild toning…","US","USD","87.55",,"1",,,
Revise,"Ticket Stubs (50132)","336632443619","Alex Rodriquez 500 home run New York Original Unused Ticket Stub, KC Royals","US","USD","145.0",,"1",,,
Revise,"Trading Card Singles (261328)","336644346068",Cooper Flagg #124 2026-26 Topps Now Rookie Mavericks CGC 10 /Black,"US","USD","115.99",,"1",,,
Revise,"Trading Card Singles (261328)","336644351129",Cooper Flagg 2025-26 #11 RC CGC 10 Black Label Dallas Mavericks,"US","USD","128.0",,"1",,,
Revise,"Trading Card Singles (261328)","336644365954",Shohei Ohtani 2024 Topps ‘89 Topps Silver Pack Chrome #2T89C-1,"US","USD","49.95",,"1",,,
Revise,"Trading Card Singles (261328)","336644378138",Willie Jones Topps 1957 #174 Philadelphia Phillies CGC 5.5,"US","USD","44.0",,"1",,,
Revise,"Trading Card Singles (261328)","336644386215",Frank Smith 1954 Bowman #188 CGC 5.5 Cincinnati Reds,"US","USD","45.0",,"1",,,
Revise,"Football-NFL (206)","336697227214",Seattle Seahawks 25 Seasons Embroidered Anniversary Patch 1976-2000 Round 8cm,"US","USD","14.0",,"1",,,
Revise,"Baseball-MLB (24410)","336697240310",American League 100 Seasons Embroidered Anniversary Patch 1901-2000 MLB Licensed,"US","USD","14.99",,"1",,,
Revise,"Trading Card Singles (261328)","336697275063",1995 SkyBox E-Motion Cal Ripken Jr Promotional Sample Orioles Card,"US","USD","3.99",,"2",,,
Revise,"Trading Card Sets (261330)","336697305835",1995 Upper Deck SP Salute Die-Cut Complete 3-Card Set Ripken Ryan Brett,"US","USD","27.0",,"1",,,
Revise,"Plaques (64485)","336700794119",Kansas City Royals Game Used Turf Display 1985 World Series Era Kauffman Stadium,"US","USD","99.99",,"1",,,
Revise,"Trading Card Singles (261328)","336730278613",Smoky Burgess #432 1959 Topps Pittsburgh Pirates Vintage Baseball Card Low Grade,"US","USD","1.15",,"1",,,
Revise,"Trading Card Singles (261328)","336731941932",1971 Topps Football Pin-Ups #9 Jerry LeVias Houston Oilers,"US","USD","14.0",,"1",,,FBPU_0004
Revise,"Trading Card Singles (261328)","336731941933",1971 Topps Football Pin-Ups #23 Gene Washington Minnesota Vikings,"US","USD","14.0",,"1",,,FBPU_0001
Revise,"Trading Card Singles (261328)","336731941934",1971 Topps Football Pin-Ups #32 Larry Brown Washington Redskins,"US","USD","14.0",,"1",,,FBPU_0002
Revise,"Trading Card Singles (261328)","336731941936",1971 Topps Football Pin-Ups #9 Jerry LeVias Houston Oilers,"US","USD","14.0",,"1",,,FBPU_0003
Revise,"Trading Card Singles (261328)","336731941944",1971 Topps Football Pin-Ups #15 Jim Nance New England Patriots,"US","USD","14.0",,"1",,,FBPU_0005
Revise,"Trading Card Singles (261328)","336738712513",1994 Topps #356 Scott Ruffcorn Chicago White Sox,"US","USD","25.0",,"1",,,T_001_E_017_02
Revise,"Trading Card Singles (261328)","336738712514",1971 Topps Football Pin-Ups #9 Jerry LeVias Houston Oilers,"US","USD","25.0",,"1",,,FBPU_0003
Revise,"Trading Card Singles (261328)","336738712515",1994 Topps #67 Alex Gonzalez Toronto Blue Jays,"US","USD","25.0",,"1",,,T_001_E_021_03
Revise,"Trading Card Singles (261328)","336738712516",1971 Topps Football Pin-Ups #15 Jim Nance New England Patriots,"US","USD","25.0",,"1",,,FBPU_0005
Revise,"Trading Card Singles (261328)","336738712517",1971 Topps Football Pin-Ups #2 Andy Russell Pittsburgh Steelers,"US","USD","25.0",,"1",,,FBPU_0010
Revise,"Trading Card Singles (261328)","336738712518",1994 Topps #278 Calvin Reese Cincinnati Reds,"US","USD","25.0",,"1",,,T_001_E_017_03
Revise,"Trading Card Singles (261328)","336738712519",1994 Topps #791,"US","USD","25.0",,"1",,,MISC_001_B_0010_02
Revise,"Trading Card Singles (261328)","336738712520",1995 Topps Baseball #55 Edgar Martinez Seattle Mariners,"US","USD","25.0",,"1",,,T_001_G_026_01
Revise,"Trading Card Singles (261328)","336738712521",1994 Topps Baseball #385 Roberto Alomar Toronto Blue Jays,"US","USD","25.0",,"1",,,T_001_B_007_385
Revise,"Trading Card Singles (261328)","336738712522",1971 Topps Football Pin-Ups #23 Gene Washington Minnesota Vikings,"US","USD","25.0",,"1",,,FBPU_0001
Revise,"Trading Card Singles (261328)","336738712523",1994 Topps #605 Barry Bonds San Francisco Giants,"US","USD","25.0",,"1",,,T_001_D_015_01
Revise,"Trading Card Singles (261328)","336738712524",1994 Topps Baseball #769 Bob Hamelin Kansas City Royals,"US","USD","25.0",,"1",,,T_001_H_029_02
